,Entropy,CW norm,Acc,Adv Acc,Adv,"(Acc,Adv Acc, Adv)"
0,0.12364509,0.5820102,True,False,True,"(True, False, True)"
1,0.06447956,1.2956895,True,False,True,"(True, False, True)"
2,0.10780786,0.35811666,True,False,True,"(True, False, True)"
3,0.16194502,0.5031556,True,False,True,"(True, False, True)"
4,0.15964808,0.68292654,True,False,True,"(True, False, True)"
5,0.16423956,0.39618507,True,False,True,"(True, False, True)"
6,0.113901034,1.0444673,True,False,True,"(True, False, True)"
7,0.06608854,0.62973183,True,False,True,"(True, False, True)"
8,0.10462628,0.66701335,True,False,True,"(True, False, True)"
9,0.13625666,0.7241574,True,False,True,"(True, False, True)"
10,0.10788216,0.7462201,True,False,True,"(True, False, True)"
11,0.12253949,1.6683517,True,False,True,"(True, False, True)"
12,0.1496675,0.31043303,True,False,True,"(True, False, True)"
13,0.10875234,1.9125938,True,False,True,"(True, False, True)"
14,0.097184815,1.4538007,True,False,True,"(True, False, True)"
15,0.1537646,0.4243314,True,False,True,"(True, False, True)"
16,0.1239521,0.590884,True,False,True,"(True, False, True)"
17,0.118744105,0.89709926,True,False,True,"(True, False, True)"
18,0.081624135,0.85475427,True,False,True,"(True, False, True)"
19,0.12624839,1.4216815,True,False,True,"(True, False, True)"
20,1.3131438,0.012085787,True,False,True,"(True, False, True)"
21,0.7815571,0.14163418,True,False,True,"(True, False, True)"
22,0.28169468,0.19114964,True,False,True,"(True, False, True)"
23,0.1401454,1.8664924,True,False,True,"(True, False, True)"
24,0.11158765,0.40802634,True,False,True,"(True, False, True)"
25,0.078001164,0.8344182,True,False,True,"(True, False, True)"
26,0.098186076,0.32388803,True,False,True,"(True, False, True)"
27,0.053883545,1.1650524,True,False,True,"(True, False, True)"
28,0.07588631,0.75662553,True,False,True,"(True, False, True)"
29,0.15362364,0.74279684,True,False,True,"(True, False, True)"
30,0.11546288,0.32454145,True,False,True,"(True, False, True)"
31,0.13659978,0.9951518,True,False,True,"(True, False, True)"
32,1.1098466,0.16064945,True,False,True,"(True, False, True)"
33,0.09739817,0.35853818,True,False,True,"(True, False, True)"
34,0.11667115,1.0224627,True,False,True,"(True, False, True)"
35,1.0137323,0.089612685,True,False,True,"(True, False, True)"
36,0.17148197,0.46234757,True,False,True,"(True, False, True)"
37,0.9661659,0.04472626,False,True,True,"(False, True, True)"
38,0.13423052,3.130348,True,False,True,"(True, False, True)"
39,0.118809864,1.300165,True,False,True,"(True, False, True)"
40,0.067351304,1.2433147,True,False,True,"(True, False, True)"
41,0.068587996,1.113816,True,False,True,"(True, False, True)"
42,0.08394222,0.6463204,True,False,True,"(True, False, True)"
43,0.10990612,0.8934725,True,False,True,"(True, False, True)"
44,0.070661366,1.4324923,True,False,True,"(True, False, True)"
45,0.111486614,1.813027,True,False,True,"(True, False, True)"
46,0.11674499,0.41522643,True,False,True,"(True, False, True)"
47,1.1098329,0.17151722,False,False,True,"(False, False, True)"
48,0.11425513,1.2768325,True,False,True,"(True, False, True)"
49,0.12238298,0.18966062,True,False,True,"(True, False, True)"
50,0.12223249,0.49754193,True,False,True,"(True, False, True)"
51,0.101008825,0.3520792,True,False,True,"(True, False, True)"
52,0.47176147,0.24022438,False,False,True,"(False, False, True)"
